Date,AAPL,MSFT,JPM,XOM,JNJ,TLT
2021-03-04,150.0,280.0,140.0,100.0,160.0,95.0
2021-03-05,148.4880816657694,275.96908647654124,137.4295109315346,97.787753788621,158.91639403861123,95.44922302362849
2021-03-08,147.2997395392202,271.39654608146833,136.93856489262234,100.4503921607806,157.12639858617402,94.57802300089554
2021-03-09,147.61664235711183,271.6621417785514,139.9855552083143,102.7933672819203,157.9387815672342,95.65638418455224
2021-03-10,149.63658273696862,273.02423755958694,139.30798741289874,103.57673605623414,157.41108558993727,95.42542217182037
2021-03-11,151.8835256929347,279.6268613333663,139.91893655973433,101.60238373104059,156.21416536009775,95.68606975744886
2021-03-12,149.44058673286037,277.68632648938376,139.12724088144682,104.51484876076545,155.58039497845868,95.44423044244401
2021-03-15,149.79762752647437,277.61131096426107,138.57935431874452,105.37198606024754,154.46298774020042,94.14701199010459
2021-03-16,147.90064786611723,272.633093126123,139.61797557140096,107.32421563264728,154.61979473725435,93.86745580254622
2021-03-17,146.63745731418734,272.1280131161348,137.64261189009363,105.22428747648162,153.75056659039305,93.1745443096647
2021-03-18,146.57549920248974,275.3465844028341,137.93195296243567,106.13585705130042,153.06458887824425,91.80047134270126
2021-03-19,147.02129604299267,277.84717620131624,138.33325772633364,104.58506715921509,153.72612121556045,90.93019426194327
2021-03-22,149.2756667821945,281.7495753672836,134.86125061020064,103.42755976630951,152.17452613059618,90.50210133944898
2021-03-23,146.4250436684047,280.93421688576376,135.0518394886231,106.28427447888228,152.33424403268438,91.06304229120747
2021-03-24,147.8002963262029,281.3630744057017,136.71702597337853,107.52591678866561,153.99360645546486,91.02885580751789
2021-03-25,149.17283363920805,282.64005656483897,136.00108985979392,106.3213021073873,152.2759402861661,91.41919364057568
2021-03-26,150.06057399897918,279.99151242139703,136.0017478547054,105.63350073659491,151.55798269157796,91.46397212980263
2021-03-29,148.70488418705278,283.06733118204625,136.09749357930235,107.29258279760538,152.37197993662323,91.64153076625122
2021-03-30,148.22035860004343,283.05347790879733,134.12748487326365,107.67674713392529,152.11599290027934,89.85146604543083
2021-03-31,147.7099189380984,286.4975010654191,134.8633460764989,107.34052775635206,151.83560957070233,89.21523558355466
2021-04-01,144.16420258088954,283.26092454852017,136.55165239761448,107.18338690616153,152.74427065924826,88.3484735571939
2021-04-02,146.56863949418886,282.9298156627074,138.39935744824146,108.8272877060369,152.82361697194594,87.92869700217125
2021-04-05,150.2345596230241,285.8896589328684,137.51640181887873,109.7329327738003,153.63849608677006,88.02849933049103
2021-04-06,149.15016395580267,278.29784568640406,136.7371261745646,110.77124679297528,154.4622175984303,88.38833706347863
2021-04-07,148.96623082062135,280.60539493348415,135.9611416039312,109.63010358269302,152.51973839045343,87.57817540243201
2021-04-08,148.98188670926567,281.37372298547086,134.8813328944388,109.21315280918935,151.73954262086664,87.86671145401364
2021-04-09,147.05139072305502,275.2691848769158,131.52323194293726,107.10302143313835,150.71874941709308,87.48801603483717
2021-04-12,143.29315758576132,271.42622469275926,131.20648531124368,106.86820250732005,152.41525327312863,87.24682015286521
2021-04-13,143.15087484483612,271.48053851718095,131.54745234120276,108.35934670812092,151.4600319165658,86.5899103750139
2021-04-14,143.64861426857584,271.23851606869437,129.99964287886962,107.00267305097793,153.90276965785463,85.68048648725453
2021-04-15,142.22938369402388,268.10835607430045,128.56559301026383,108.00004184338934,153.59439936728563,85.27918918402328
2021-04-16,141.44017228261464,266.63135535086224,128.48319172206453,107.67941870253209,151.92026321021342,84.24838136821442
2021-04-19,140.74807157072144,262.63930205002976,128.78964737628843,109.2318920603092,152.33812264055837,84.32815946328756
2021-04-20,138.87980679778775,262.28542360005054,129.0173213251832,110.81990425332867,153.86217827597343,84.2512815955831
2021-04-21,139.7232015502161,265.1913994751006,130.59746165774942,113.37456871284513,157.63859154936955,82.6214513337492
2021-04-22,139.91101044853593,264.43537207436503,130.08782858368218,110.85091359131856,159.00197829292475,82.72672793516125
2021-04-23,139.84077758575663,270.46872857927053,130.34337882718816,112.3735596617218,158.4372637395967,83.62319180583661
2021-04-26,137.75549427825123,266.2058930638425,129.3003257837903,114.46416697792853,158.16672204611453,84.46412890544612
2021-04-27,139.90173780274085,269.8643022647612,129.03197309549813,114.53721719865085,157.7891598911133,84.52447016891325
2021-04-28,137.54516406734126,264.3792780602427,125.06527538166984,112.01371930691178,155.5942262302576,83.83160334400895
2021-04-29,139.91700399712062,264.3719451939019,125.87720485065726,112.95629037044846,156.81829980985276,84.15512898216922
2021-04-30,140.8553594079838,262.03891549215984,127.89185845370525,113.83579207771413,159.22220992721017,84.16833266557174
2021-05-03,137.43195588035252,260.50327731495764,124.56500101477192,110.64347692056764,156.2418834524856,84.34428088823381
2021-05-04,140.00966470696514,255.90078926124303,123.57181768755378,109.30708502258736,154.21763522874357,84.28261004446011
2021-05-05,139.16203838651802,253.85421112813393,126.54601367838244,110.6518394817783,154.5935336210134,84.25880548510366
2021-05-06,135.94165710059465,245.92363380490443,126.86221540499868,110.89061769556008,155.02663964158836,84.53121046178714
2021-05-07,134.93059196909667,244.8527427838731,127.2269757640045,111.50389604861911,155.1254087548555,84.20362123453826
2021-05-10,130.54475232543666,238.3413488202845,129.31351120726137,110.73989128066914,154.81502702594628,84.24158218978748
2021-05-11,129.8957762527059,236.14567851752992,129.51178898263828,111.33927854996769,154.571522390173,83.66259162154091
2021-05-12,128.13913722697535,235.1836470839855,129.9637247435413,111.78791305719083,155.88901533330815,83.86461409610577
2021-05-13,129.12476475039955,236.27376816492315,131.24774932597072,113.33616968991404,157.5539969496985,84.09905296537676
2021-05-14,126.54790211161121,231.79401540870205,130.91336862822735,112.6649156054789,157.82003863015706,83.86562743254224
2021-05-17,125.35132432313615,231.5112663863119,130.9479750474665,110.26034319396835,158.37647258044794,84.54399391279755
2021-05-18,125.21474410481137,229.25719357979855,130.44152341207553,110.0834209745909,159.88740910725923,83.72512007258462
2021-05-19,125.44092029089936,230.578531460105,132.29228431474564,112.6321825854655,162.59405280036103,83.94336104879217
2021-05-20,124.08724423028735,231.0026475564894,133.13398931587702,113.94542740196233,162.24786489780854,83.98646327276312
2021-05-21,125.5390050768494,231.5697260903295,134.91704956821084,115.06252289339184,162.63977511593143,83.66118004951632
2021-05-24,126.07537074130978,228.57363431586788,134.57753647534295,115.81298508689669,161.38799769217258,84.17705699852573
2021-05-25,126.8453472104823,231.06135945533967,134.6206963242711,117.09751430660366,163.3797340883407,84.74968687553022
2021-05-26,126.0080937301727,230.4491481394946,135.27591670392383,118.72708237510096,162.81357417492805,85.13529929809111
2021-05-27,126.17143933942127,232.33527310028515,133.81454712117306,115.95388583242723,162.61547675643385,85.50956658268741
2021-05-28,125.66875178115599,232.04006970403717,134.23718730186098,115.5685596016214,162.25103056712666,85.12986256600462
2021-05-31,123.1302093082957,230.46941230490455,134.85000422449096,111.7999253053385,162.80971572807996,85.70309848529867
2021-06-01,120.63515836267443,221.48230153350892,133.01315333810425,110.91916182106594,159.9147646790739,85.68775262105702
2021-06-02,121.76880811759624,224.53799559951437,132.72346229535088,111.72767389249165,162.02975622648023,86.58253789506492
2021-06-03,123.47421847209512,229.28333167897276,130.9877718292728,112.7245683357768,162.91614900861904,86.93920822096773
2021-06-04,128.61227577591612,233.15967125606159,131.4172295892773,112.69128864783632,164.20086909120369,87.10832414242165
2021-06-07,129.66196923640766,231.8995437656499,130.77096113812047,112.85519625838359,164.1731659980154,87.12954890729677
2021-06-08,130.49550823407102,230.1614662950659,131.96856299327223,111.48258469262512,164.25749157364237,86.24625301643634
2021-06-09,128.40125439126567,229.57029621447396,133.1528067178933,111.84001477628077,165.78103467387194,86.89299585092184
